ID,Nombre,Inteligencia,Fuerza,Velocidad,Durabilidad,Potencia,Combate,Genero,Etnia,Altura,Peso,Color_Ojos,Color_Pelo,Nombre Completo,Alias,Lugar de nacimiento,Primera aparición,Editor,Alineación
1,A-Bomb,38,100,17,80,24,64,Male,Human,203 cm,441 kg,Yellow,No Hair,Richard Milhouse Jones,Rick Jones,"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,good
2,Abe Sapien,88,28,35,65,100,85,Male,Icthyo Sapien,191 cm,65 kg,Blue,No Hair,Abraham Sapien,"Langdon Everett Caul, Abraham Sapien, Langdon Caul",-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good
3,Abin Sur,50,90,53,64,99,65,Male,Ungaran,185 cm,90 kg,Blue,No Hair,,Lagzia,Ungara,"Showcase #22 (October, 1959)",DC Comics,good
4,Abomination,63,80,53,90,62,95,Male,Human / Radiation,203 cm,441 kg,Green,No Hair,Emil Blonsky,"Agent R-7, Ravager of Worlds","Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad
5,Abraxas,88,63,83,100,100,55,Male,Cosmic Entity,0 cm,0 kg,Blue,Black,Abraxas,-,Within Eternity,Fantastic Four Annual #2001,Marvel Comics,bad
6,Absorbing Man,38,80,25,100,98,64,Male,Human,193 cm,122 kg,Blue,No Hair,Carl Creel,"Greithoth, ""Crusher"" Creel, Rocky Davis, Dynamite Davis, Lightningbolt, Prisoner #24957","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad
7,Adam Monroe,63,10,12,100,100,64,Male,null,0 cm,0 kg,Blue,Blond,,"Takezo Kensei, Richard Sanders",-,Heroes S02E01 - Four Months Later...,NBC - Heroes,good
8,Adam Strange,69,10,33,40,37,50,Male,Human,185 cm,88 kg,Blue,Blond,Adam Strange,"Warrior of Two Worlds, Savior of Rann","Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good
9,Agent 13,Sin dato,46,Sin dato,Sin dato,Sin dato,Sin dato,Female,null,173 cm,61 kg,Blue,Blond,Sharon Carter,-,-,Tales of Suspense #75,Sharon Carter,good
10,Agent Bob,10,8,13,5,5,20,Male,Human,178 cm,81 kg,Brown,Brown,Bob,"Bob, agent of Hydra, Bob, agent of A.I.M",-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good
